,Random
0,1484.0
1,692.0
2,736.0
3,616.0
4,544.0
5,1216.0
6,960.0
7,1728.0
8,1864.0
9,864.0
10,492.0
11,696.0
12,1472.0
13,2300.0
14,672.0
15,1148.0
16,496.0
17,636.0
18,1136.0
19,1196.0
20,1184.0
21,580.0
22,672.0
23,1280.0
24,1040.0
25,1072.0
26,1392.0
27,380.0
28,1004.0
29,788.0
30,1256.0
31,1380.0
32,1484.0
33,612.0
34,1348.0
35,432.0
36,676.0
37,1264.0
38,1136.0
39,296.0
40,1456.0
41,672.0
42,2324.0
43,2448.0
44,744.0
45,1364.0
46,652.0
47,356.0
48,892.0
49,800.0
50,540.0
51,2256.0
52,728.0
53,1456.0
54,1424.0
55,1504.0
56,740.0
57,1772.0
58,2432.0
59,1308.0
60,1824.0
61,2080.0
62,1636.0
63,2572.0
64,1068.0
65,2208.0
66,2452.0
67,1124.0
68,1440.0
69,2524.0
70,1388.0
71,1472.0
72,1280.0
73,740.0
74,1256.0
75,640.0
76,1216.0
77,1372.0
78,644.0
79,1364.0
80,680.0
81,2688.0
82,684.0
83,2804.0
84,768.0
85,2860.0
86,1136.0
87,408.0
88,548.0
89,304.0
90,1088.0
91,2388.0
92,1436.0
93,1636.0
94,1408.0
95,3148.0
96,1400.0
97,1228.0
98,1696.0
99,1168.0
