,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,score,lastMove
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,'a'
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,'w'
2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,'a'
3,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,'w'
4,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,16,'a'
5,8,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,20,'w'
6,8,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,20,'a'
7,8,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,24,'w'
8,8,4,0,0,4,0,0,0,2,0,0,0,2,0,0,0,24,'a'
9,8,4,2,0,4,0,0,0,4,0,0,0,0,0,0,0,28,'w'
10,8,4,2,0,4,0,0,0,4,2,0,0,0,0,0,0,28,'a'
11,8,4,2,2,8,2,0,0,0,0,0,0,0,0,0,0,36,'w'
12,8,4,4,0,8,2,0,0,0,0,0,0,2,0,0,0,40,'a'
13,16,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,56,'w'
14,16,8,2,0,4,0,0,0,0,0,0,0,2,0,0,0,68,'a'
15,16,8,4,0,4,0,0,0,2,0,0,0,0,0,0,0,72,'w'
16,16,8,4,0,4,0,0,0,4,0,0,0,0,0,0,0,76,'a'
17,16,8,4,0,8,0,0,0,2,0,0,0,0,0,0,0,84,'w'
18,16,8,4,0,8,2,0,0,2,0,0,0,0,0,0,0,84,'a'
19,16,8,4,0,8,2,2,0,2,0,0,0,0,0,0,0,84,'w'
20,16,8,4,0,8,4,0,0,4,0,0,0,0,0,0,0,92,'a'
21,16,8,4,0,8,4,2,0,4,0,0,0,0,0,0,0,92,'w'
22,16,8,4,2,0,8,4,2,0,0,0,4,0,0,0,0,92,'d'
23,16,16,8,4,0,0,0,4,0,0,0,2,0,0,0,0,120,'w'
24,32,8,4,0,4,0,0,0,2,0,0,0,2,0,0,0,152,'a'
25,32,8,4,2,4,0,0,0,4,0,0,0,0,0,0,0,156,'w'
26,32,8,4,2,4,2,0,0,4,0,0,0,0,0,0,0,156,'a'
27,32,8,4,2,8,2,0,0,2,0,0,0,0,0,0,0,164,'w'
28,32,8,4,2,8,2,0,0,4,0,0,0,0,0,0,0,168,'a'
29,32,8,4,4,8,2,0,0,4,0,0,0,0,0,0,0,172,'w'
30,32,8,8,0,8,2,0,0,4,0,0,0,2,0,0,0,180,'a'
31,32,16,2,0,8,2,0,0,4,0,0,0,2,0,0,0,196,'a'
32,32,16,4,0,8,2,0,0,4,0,0,0,2,0,0,0,200,'w'
33,32,16,4,0,8,2,0,0,4,0,0,0,4,0,0,0,204,'a'
34,32,16,4,0,8,4,0,0,8,0,0,0,0,0,0,0,216,'w'
35,32,16,4,0,8,4,0,0,8,0,0,0,2,0,0,0,216,'a'
36,32,16,4,2,16,4,0,0,2,0,0,0,0,0,0,0,232,'w'
37,32,16,4,2,16,4,0,0,4,0,0,0,0,0,0,0,236,'a'
38,32,16,4,2,0,0,16,4,0,0,4,2,0,0,0,0,236,'d'
39,32,16,4,2,2,16,4,0,4,2,0,0,0,0,0,0,236,'a'
40,32,32,8,2,2,2,0,0,4,0,0,0,2,0,0,0,276,'w'
41,64,8,2,0,4,0,0,0,4,0,0,0,4,0,0,0,348,'a'
42,64,8,4,0,8,0,0,0,4,0,0,0,0,0,0,0,360,'w'
43,64,8,4,0,8,2,0,0,4,0,0,0,0,0,0,0,360,'a'
44,64,8,4,0,8,4,0,0,4,0,0,0,0,0,0,0,364,'w'
45,0,64,8,4,0,0,8,4,0,0,0,4,0,0,0,2,364,'d'
46,64,8,4,0,8,4,0,0,2,4,0,0,2,0,0,0,364,'a'
47,64,8,4,0,8,8,0,0,4,2,0,0,0,0,0,0,376,'w'
48,64,8,4,0,16,2,0,0,4,2,0,0,0,0,0,0,392,'a'
49,64,8,4,2,16,4,0,0,4,0,0,0,0,0,0,0,396,'w'
50,64,8,4,2,0,0,16,4,0,0,0,4,0,0,0,2,396,'d'
51,64,8,4,2,2,0,16,8,0,0,0,2,0,0,0,0,404,'w'
52,64,8,4,2,4,16,8,0,2,0,0,0,0,0,0,0,408,'a'
53,64,8,4,4,4,16,8,0,2,0,0,0,0,0,0,0,412,'w'
54,64,8,8,0,4,16,8,0,2,0,0,0,2,0,0,0,420,'a'
55,64,8,16,2,4,16,0,0,4,0,0,0,0,0,0,0,440,'w'
56,64,8,16,4,8,16,0,0,0,0,0,0,0,0,0,0,452,'w'
