,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,2.0,,,,,,,,,2.0,,,,0,s
1,,,,2.0,,,,,,,,2.0,,,,2.0,0,a
2,,,,4.0,,,,2.0,,,2.0,,,,,,4,a
3,,,2.0,4.0,,2.0,,2.0,,,,,,,,,4,d
4,,,,2.0,,,,,,,,4.0,,2.0,2.0,2.0,4,a
5,,2.0,2.0,2.0,,,,4.0,,,,2.0,,4.0,,,4,d
6,,,,,,,,2.0,2.0,2.0,,4.0,,4.0,2.0,2.0,4,d
7,,,,,2.0,,,2.0,,2.0,,4.0,2.0,4.0,2.0,2.0,4,s
8,,,,,,,2.0,4.0,,,2.0,4.0,,2.0,4.0,4.0,12,s
9,,,,,4.0,,2.0,4.0,,,2.0,4.0,,,2.0,8.0,20,s
10,,,,,,4.0,2.0,4.0,,,2.0,4.0,2.0,,2.0,8.0,20,s
11,,,,,,4.0,2.0,4.0,,2.0,2.0,4.0,,,4.0,8.0,24,w
12,,,,,4.0,2.0,4.0,,4.0,4.0,,2.0,4.0,8.0,,,28,d
13,,,,,,2.0,,,4.0,4.0,2.0,,8.0,8.0,4.0,2.0,36,w
14,,,,,2.0,,,,8.0,2.0,,2.0,16.0,4.0,2.0,,60,d
15,,,2.0,,2.0,,,,8.0,2.0,,,16.0,4.0,2.0,2.0,60,w
16,2.0,,,,2.0,,2.0,,8.0,2.0,,,16.0,4.0,4.0,,64,d
17,,,,,4.0,2.0,,,8.0,2.0,2.0,,16.0,4.0,4.0,,68,w
18,,,,,4.0,2.0,,2.0,8.0,4.0,,,16.0,8.0,,,80,d
19,,,,,4.0,2.0,,,8.0,4.0,,2.0,16.0,8.0,,2.0,80,w
20,,,,,4.0,2.0,4.0,,8.0,4.0,2.0,,16.0,8.0,2.0,,80,d
21,,,,,4.0,2.0,2.0,,8.0,4.0,4.0,,16.0,8.0,4.0,,84,d
22,,,2.0,,4.0,2.0,,,8.0,4.0,2.0,,16.0,8.0,8.0,,92,d
23,,,,,4.0,2.0,2.0,,8.0,4.0,4.0,,16.0,8.0,8.0,,96,a
24,4.0,2.0,2.0,2.0,8.0,4.0,4.0,,16.0,8.0,8.0,,,,,,96,d
25,,,,,4.0,2.0,2.0,,8.0,4.0,4.0,2.0,16.0,8.0,8.0,2.0,96,d
26,,,,,4.0,2.0,2.0,,8.0,4.0,4.0,2.0,16.0,8.0,8.0,4.0,100,w
27,,,,,4.0,4.0,,2.0,8.0,8.0,2.0,,16.0,16.0,4.0,,128,d
28,,,,,4.0,4.0,,2.0,8.0,8.0,2.0,,16.0,16.0,4.0,2.0,128,d
29,,,,,4.0,4.0,,,8.0,8.0,2.0,2.0,16.0,16.0,4.0,4.0,132,w
30,,,,,8.0,,,,16.0,4.0,2.0,,32.0,8.0,,,200,d
31,,,,,8.0,,,,16.0,4.0,4.0,,32.0,8.0,2.0,,200,a
32,8.0,4.0,4.0,,16.0,8.0,2.0,,32.0,,,2.0,,,,,200,d
33,,2.0,,,8.0,,,,16.0,4.0,4.0,,32.0,8.0,2.0,2.0,200,d
34,,2.0,,,8.0,2.0,,,16.0,4.0,4.0,,32.0,8.0,2.0,2.0,200,d
35,,,,,8.0,4.0,,2.0,16.0,4.0,4.0,,32.0,8.0,2.0,2.0,204,w
36,,,,,8.0,4.0,2.0,,16.0,8.0,2.0,,32.0,8.0,4.0,,216,s
37,,,,,,8.0,4.0,2.0,,16.0,8.0,2.0,2.0,32.0,8.0,4.0,216,w
38,2.0,,,,8.0,4.0,2.0,,16.0,8.0,2.0,,2.0,32.0,8.0,4.0,216,d
39,2.0,,,,8.0,4.0,2.0,,16.0,8.0,4.0,,2.0,32.0,8.0,4.0,220,a
40,2.0,4.0,2.0,4.0,8.0,8.0,4.0,,16.0,32.0,8.0,,2.0,,,2.0,220,a
41,2.0,4.0,2.0,4.0,8.0,8.0,4.0,2.0,16.0,32.0,8.0,,2.0,,,2.0,220,d
42,2.0,2.0,,,8.0,4.0,2.0,,16.0,8.0,4.0,4.0,2.0,32.0,8.0,4.0,224,d
43,2.0,2.0,4.0,,8.0,4.0,2.0,,16.0,8.0,4.0,,2.0,32.0,8.0,8.0,232,w
44,4.0,4.0,,2.0,8.0,4.0,2.0,,16.0,8.0,4.0,,2.0,32.0,16.0,,252,w
45,8.0,2.0,,2.0,8.0,4.0,2.0,,16.0,8.0,4.0,,2.0,32.0,16.0,,260,w
46,8.0,4.0,2.0,,8.0,4.0,2.0,,16.0,8.0,4.0,,2.0,32.0,16.0,,264,s
47,4.0,8.0,4.0,2.0,,8.0,4.0,2.0,,16.0,8.0,4.0,,2.0,32.0,16.0,264,a
48,4.0,16.0,8.0,4.0,,16.0,8.0,4.0,,2.0,32.0,16.0,,,,2.0,292,a
49,4.0,32.0,16.0,8.0,,2.0,32.0,16.0,,,,2.0,,2.0,,,348,s
50,4.0,32.0,16.0,8.0,,2.0,32.0,16.0,,,,2.0,2.0,,,2.0,348,a
51,4.0,32.0,16.0,8.0,2.0,2.0,32.0,16.0,,2.0,,4.0,,,,,352,w
52,4.0,32.0,16.0,8.0,4.0,32.0,16.0,,2.0,4.0,2.0,,,,,,356,s
53,4.0,32.0,16.0,8.0,,4.0,32.0,16.0,,2.0,4.0,2.0,,2.0,,,356,w
54,4.0,32.0,16.0,8.0,4.0,32.0,16.0,,2.0,4.0,2.0,2.0,2.0,,,,356,w
55,4.0,32.0,16.0,8.0,4.0,32.0,16.0,,2.0,4.0,4.0,,2.0,2.0,,,360,a
56,8.0,64.0,32.0,8.0,4.0,4.0,4.0,,,2.0,2.0,,,,,,468,w
57,8.0,64.0,32.0,8.0,8.0,4.0,,,4.0,2.0,,,,,,,480,s
58,8.0,64.0,32.0,8.0,,,8.0,4.0,2.0,,4.0,2.0,,,,,480,w
59,8.0,64.0,32.0,8.0,8.0,4.0,,,2.0,4.0,2.0,,,4.0,,,480,s
60,8.0,64.0,32.0,8.0,,,8.0,4.0,2.0,2.0,4.0,2.0,,,,4.0,480,w
61,8.0,64.0,32.0,8.0,8.0,4.0,2.0,,4.0,4.0,2.0,,4.0,,,,484,w
